name,image,dna,edition,date,background_female,skins_female,clothes_female,ear_female,headgear_female,eyes_female,nose_female,mouth_female,neck_female,handprop_female
Zombies of Zombiville #1,https://www.rpsg.in/1.png,011355144ec6b8b447f90cd8633b7c60c3b70d45,1,1642399318707,purple,pale grey,pink tshirt,blade,towel,double spike mascara,runny nose,face mask,scarf,trimmer
Zombies of Zombiville #2,https://www.rpsg.in/2.png,9ecd7db5f00f0e49ca07faa5fc1041ef9615fab4,2,1642399319487,blue,pale purple,spaghetti top,chained earring,scarf,winged eyeliner,no nose,smile,gold chain,sword
Zombies of Zombiville #3,https://www.rpsg.in/3.png,4ea82164ad9474304f2ac895178c47b25d5c7ebc,3,1642399320265,orange,pale green,red saree,worm,helmet,eye lashes,worm,angry,scarf,bhelpuri
Zombies of Zombiville #4,https://www.rpsg.in/4.png,8fd7a028b43189c6e4fa737584b2b867eab92903,4,1642399320984,blue,pale green,pink tshirt,silver ring,scarf,happy,normal,zipped,gold chain,cross
Zombies of Zombiville #5,https://www.rpsg.in/5.png,e36765cbb7d5ded54bb402366af0da162727741d,5,1642399321708,orange,pale purple,printed saree,silver ring,long hair,spike mascara,nose pin,tongue pierced,scarf,console
Zombies of Zombiville #6,https://www.rpsg.in/6.png,14eab550c49244d47a0aa0983e42262053d180bb,6,1642399322452,green,light grey,red saree,chained earring,towel,happy,worm,tongue pierced,scarf,ice cream
Zombies of Zombiville #7,https://www.rpsg.in/7.png,143817649ac38dfaaa2c546fb7fa07724f99111e,7,1642399323189,blue,pale blue,silk saree,chained earring,helmet,eye pop,normal,n95 mask,gold chain,ustra
Zombies of Zombiville #8,https://www.rpsg.in/8.png,b147c1c08af0d2807e55208820968131c397f9ae,8,1642399323948,orange,pale green,red saree,chained earring,scarf,double mascara,worm,open,scarf,console
Zombies of Zombiville #9,https://www.rpsg.in/9.png,0d9c1a436b9713488216620fe4550d87a76f0876,9,1642399324687,yellow,pale purple,dress with dupatta,silver ring,indian bun,eye lashes,worm,bubblegum,scarf,spatula
Zombies of Zombiville #10,https://www.rpsg.in/10.png,ed4df5870ad68bde67a0e8d853e1b611262f52b9,10,1642399325464,blue,human skin,red saree,silver piercing,scarf,pointed,no nose,n95 mask,scarf,ustra
Zombies of Zombiville #11,https://www.rpsg.in/11.png,ac253550408f7ae6479e9230b7f85a7cddca168e,11,1642399326204,white,light grey,single shoulder strap top,chained earring,indian bun,winged eyeliner,piercing,n95 mask,scarf,spatula
Zombies of Zombiville #12,https://www.rpsg.in/12.png,b3f1c2bbc9bab4bb7e8e6b5fa6ff969d67dfa74b,12,1642399326965,blue,pale blue,dress with dupatta,chained earring,scarf,eye pop,bali,bubblegum,scarf,whisker
